source,label,count
http://data.odeuropa.eu/vocabulary/olfactory-objects/72,Flower,7593
http://data.odeuropa.eu/vocabulary/olfactory-objects/138,Rose,2710
http://data.odeuropa.eu/vocabulary/olfactory-objects/269,Incense,1534
http://data.odeuropa.eu/vocabulary/olfactory-objects/122,Pipe,1080
http://data.odeuropa.eu/vocabulary/olfactory-objects/242,Sulphur,965
http://data.odeuropa.eu/vocabulary/olfactory-objects/270,Musk,916
http://data.odeuropa.eu/vocabulary/olfactory-objects/103,Myrrh,795
http://data.odeuropa.eu/vocabulary/olfactory-objects/126,Water,776
http://data.odeuropa.eu/vocabulary/olfactory-objects/88,Herb,770
http://data.odeuropa.eu/vocabulary/olfactory-objects/223,Violet,759
http://data.odeuropa.eu/vocabulary/olfactory-objects/227,Tobacco,749
http://data.odeuropa.eu/vocabulary/olfactory-objects/55,Dog,711
http://data.odeuropa.eu/vocabulary/olfactory-objects/536,Ointment,697
http://data.odeuropa.eu/vocabulary/olfactory-objects/75,Fruit,688
http://data.odeuropa.eu/vocabulary/olfactory-objects/17,Blood,612
http://data.odeuropa.eu/vocabulary/olfactory-objects/78,Plant,529
http://data.odeuropa.eu/vocabulary/olfactory-objects/66,Fire,527
http://data.odeuropa.eu/vocabulary/olfactory-objects/258,Jasmine,527
http://data.odeuropa.eu/vocabulary/olfactory-objects/177,Spice,521
http://data.odeuropa.eu/vocabulary/olfactory-objects/169,Wine,511
http://data.odeuropa.eu/vocabulary/olfactory-objects/27,Carnation,484
http://data.odeuropa.eu/vocabulary/olfactory-objects/180,Meat,471
http://data.odeuropa.eu/vocabulary/olfactory-objects/410,Root,454
http://data.odeuropa.eu/vocabulary/olfactory-objects/68,Fish,453
http://data.odeuropa.eu/vocabulary/olfactory-objects/92,Lily,450
http://data.odeuropa.eu/vocabulary/olfactory-objects/417,Air,448
http://data.odeuropa.eu/vocabulary/olfactory-objects/193,Sheep,443
http://data.odeuropa.eu/vocabulary/olfactory-objects/287,Grape,442
http://data.odeuropa.eu/vocabulary/olfactory-objects/147,Smoke,422
http://data.odeuropa.eu/vocabulary/olfactory-objects/476,Wood,409
http://data.odeuropa.eu/vocabulary/olfactory-objects/150,Smelling Salts,402
http://data.odeuropa.eu/vocabulary/olfactory-objects/415,Lavender,396
http://data.odeuropa.eu/vocabulary/olfactory-objects/461,Bird,387
http://data.odeuropa.eu/vocabulary/olfactory-objects/441,Apple,386
http://data.odeuropa.eu/vocabulary/olfactory-objects/109,Oil,381
http://data.odeuropa.eu/vocabulary/olfactory-objects/460,Carcass,379
http://data.odeuropa.eu/vocabulary/olfactory-objects/533,Body,371
http://data.odeuropa.eu/vocabulary/olfactory-objects/335,Lemon,364
http://data.odeuropa.eu/vocabulary/olfactory-objects/192,(Male) goat,363
http://data.odeuropa.eu/vocabulary/olfactory-objects/267,Frankincense,347
http://data.odeuropa.eu/vocabulary/olfactory-objects/189,Horse,345
http://data.odeuropa.eu/vocabulary/olfactory-objects/431,Amber,339
http://data.odeuropa.eu/vocabulary/olfactory-objects/25,Candle,338
http://data.odeuropa.eu/vocabulary/olfactory-objects/190,Cow,334
http://data.odeuropa.eu/vocabulary/olfactory-objects/81,Grass,329
http://data.odeuropa.eu/vocabulary/olfactory-objects/285,Peach,322
http://data.odeuropa.eu/vocabulary/olfactory-objects/215,Cinnamon,321
http://data.odeuropa.eu/vocabulary/olfactory-objects/79,Garlic,312
http://data.odeuropa.eu/vocabulary/olfactory-objects/211,Balm,303
http://data.odeuropa.eu/vocabulary/olfactory-objects/23,Cadaver,298
